品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
樂信牌,RC-SUL90B,U2-C260198,2020,1,280,2.62,4.6976,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-SUL70B,U2-C260197,2020,1,235,2.18,4.6668,R32,不適用,—,—,—,信興電工工程有限公司,是
金田,KA-W018A,U2-C260155,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,金田貿易有限公司,否
金田,KA-W012A,U2-C260154,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,金田貿易有限公司,否
金田,KA-W009A,U2-C260153,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,金田貿易有限公司,否
金田,KA-W007A,U2-C260152,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,金田貿易有限公司,否
開利,WFQ12VW,U2-C260149,2020,1,379,3.65,4.7351,R32,1,38,3.62,3.9792,世紀開利家用空調有限公司,是
開利,WFQ09VW,U2-C260148,2020,1,267,2.74,5.0707,R32,1,32,3.08,4.0804,世紀開利家用空調有限公司,是
開利,WFQ07VW,U2-C260144,2020,1,214,2.19,4.9673,R32,1,25,2.39,4.1941,世紀開利家用空調有限公司,是
PHILIPS,FAC09CA,U2-C260143,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,威榮電業有限公司,是
PHILIPS,FAC07CA,U2-C260142,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,威榮電業有限公司,是
PHILIPS,FAC18CA,U2-C260141,2020,1,548,5.36,4.7795,R32,不適用,—,—,—,威榮電業有限公司,是
PHILIPS,FAC12CA,U2-C260140,2020,1,362,3.42,4.6618,R32,不適用,—,—,—,威榮電業有限公司,是
PHILIPS,FAC18FA,U2-C260134,2020,3,823,5.35,3.2561,R32,不適用,—,—,—,威榮電業有限公司,否
PHILIPS,FAC12FA,U2-C260133,2020,3,546,3.56,3.2599,R32,不適用,—,—,—,威榮電業有限公司,否
PHILIPS,FAC09FA,U2-C260132,2020,3,393,2.73,3.3994,R32,不適用,—,—,—,威榮電業有限公司,否
PHILIPS,FAC07FA,U2-C260131,2020,3,315,2.09,3.2954,R32,不適用,—,—,—,威榮電業有限公司,否
晶弘,KHWIC24A1,U2-C260130,2020,1,668,6.63,4.7664,R32,不適用,—,—,—,香港格力電器工程設備有限公司,是
晶弘,KHWIC18A1,U2-C260129,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,香港格力電器工程設備有限公司,是
晶弘,KHWIC12A1,U2-C260128,2020,1,380,3.53,4.6525,R32,不適用,—,—,—,香港格力電器工程設備有限公司,是
晶弘,KHWIC09A1,U2-C260127,2020,1,280,2.50,4.5066,R32,不適用,—,—,—,香港格力電器工程設備有限公司,是
樂信牌,RC-H24HR,U2-C260126,2020,1,684,6.44,4.6701,R32,1,50,4.95,4.1345,信興電工工程有限公司,是
樂信牌,RC-H18HR,U2-C260125,2020,1,567,5.27,4.5510,R32,1,48,4.78,4.2515,信興電工工程有限公司,是
樂信牌,RC-H12HR,U2-C260124,2020,1,375,3.57,4.7531,R32,1,30,2.63,3.7358,信興電工工程有限公司,是
樂信牌,RC-H9HR,U2-C260123,2020,1,278,2.52,4.5485,R32,1,25,2.26,3.7440,信興電工工程有限公司,是
樂信牌,RC-H7HR,U2-C260122,2020,1,246,2.22,4.5249,R32,1,22,2.02,3.8329,信興電工工程有限公司,是
東芝,RAC-18G3CVRGR-HK1,U2-C260108,2020,1,578,5.35,4.6334,R32,不適用,—,—,—,東芝香港有限公司,是
品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
東芝,RAC-09G3CVRGR-HK1,U2-C260107,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-07G3CVRGR-HK1,U2-C260106,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,東芝香港有限公司,是
東芝,RAC-07G3CVRG-HK1,U2-C260105,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,東芝香港有限公司,是
晶弘,KHWIC07A1,U2-C260104,2020,1,247,2.28,4.5109,R32,不適用,—,—,—,香港格力電器工程設備有限公司,是
White-Westinghouse,WWN18CRV2,U2-C260100,2020,1,578,5.35,4.6392,R32,不適用,—,—,—,威榮電業有限公司,是
White-Westinghouse,WWN12CRV2,U2-C260099,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,威榮電業有限公司,是
White-Westinghouse,WWN09CRV2,U2-C260098,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,威榮電業有限公司,是
White-Westinghouse,WWN07CRV2,U2-C260097,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,威榮電業有限公司,是
晶弘,KHWRCFC24,U2-C260096,2020,4,1057,6.63,3.1288,R32,不適用,—,—,—,香港格力電器工程設備有限公司,否
晶弘,KHWRCFC18,U2-C260095,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,香港格力電器工程設備有限公司,否
晶弘,KHWRCFC12,U2-C260094,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,香港格力電器工程設備有限公司,否
晶弘,KHWRCFC09,U2-C260093,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,香港格力電器工程設備有限公司,否
晶弘,KHWRCFC07,U2-C260092,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,香港格力電器工程設備有限公司,否
快意寶,W189R-PAC,U2-C260091,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,康富電器貿易有限公司,否
快意寶,W129R-PAC,U2-C260090,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,康富電器貿易有限公司,否
快意寶,W099R-PAC,U2-C260089,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,康富電器貿易有限公司,否
快意寶,W079R-PAC,U2-C260088,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,康富電器貿易有限公司,否
快意寶,W182-PAC,U2-C260087,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,康富電器貿易有限公司,否
快意寶,W122A-PAC,U2-C260086,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,康富電器貿易有限公司,否
快意寶,W092-PAC,U2-C260085,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,康富電器貿易有限公司,否
快意寶,W072-PAC,U2-C260084,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,康富電器貿易有限公司,否
金章牌,ZWACR12N,U2-C260083,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,大昌行電器有限公司,是
快意寶,W1291-PACV,U2-C260078,2020,1,380,3.53,4.6525,R32,不適用,—,—,—,康富電器貿易有限公司,是
快意寶,W0991-PACV,U2-C260077,2020,1,280,2.50,4.5066,R32,不適用,—,—,—,康富電器貿易有限公司,是
快意寶,W0791-PACV,U2-C260076,2020,1,247,2.28,4.5109,R32,不適用,—,—,—,康富電器貿易有限公司,是
Comfee',CWV-09CRFN9-AD5,U2-C260074,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,東芝香港有限公司,是
Comfee',CWV-07CRFN9-AD5,U2-C260073,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,東芝香港有限公司,是
日立牌,RAW-XH24CDK,U2-C260059,2020,1,699,6.49,4.5558,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
金章牌,ZWACR18N,U2-C260058,2020,1,578,5.35,4.6392,R32,不適用,—,—,—,大昌行電器有限公司,是
日立牌,RAW-XH13CDK,U2-C260057,2020,1,382,3.54,4.6274,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
日立牌,RAW-XH10CDK,U2-C260056,2020,1,275,2.53,4.5965,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
日立牌,RAW-XH07CDK,U2-C260055,2020,1,242,2.24,4.5985,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
樂信牌,RC-S24PA,U2-C260052,2020,1,678,6.32,4.8068,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S18PA,U2-C260051,2020,1,548,5.36,4.7795,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S12PA,U2-C260050,2020,1,362,3.42,4.6618,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S9PA,U2-C260049,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-S7PA,U2-C260048,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,信興電工工程有限公司,是
Comfee',CWV-18CRFN9-AD5,U2-C260047,2020,1,548,5.36,4.7795,R32,不適用,—,—,—,東芝香港有限公司,是
Comfee',CWV-12CRFN9-AD5,U2-C260046,2020,1,362,3.42,4.6618,R32,不適用,—,—,—,東芝香港有限公司,是
海迅,HLW021WB,U2-C260041,2020,1,665,6.32,4.7953,R32,不適用,—,—,—,捷迅冷氣水電工程有限公司,是
海迅,HLW018WB,U2-C260040,2020,1,578,5.35,4.6392,R32,不適用,—,—,—,捷迅冷氣水電工程有限公司,是
日立牌,RAW-XH18CDK,U2-C260039,2020,1,545,5.33,4.7286,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
冰雪牌,FR-KV18,U2-C260038,2020,3,823,5.35,3.2561,R32,不適用,—,—,—,信興電工工程有限公司,否
冰雪牌,FR-KV12,U2-C260037,2020,3,546,3.56,3.2599,R32,不適用,—,—,—,信興電工工程有限公司,否
冰雪牌,FR-KV9,U2-C260036,2020,3,393,2.73,3.3994,R32,不適用,—,—,—,信興電工工程有限公司,否
冰雪牌,FR-KS18,U2-C260035,2020,1,548,5.36,4.7795,R32,不適用,—,—,—,信興電工工程有限公司,是
冰雪牌,FR-KS12,U2-C260034,2020,1,362,3.42,4.6618,R32,不適用,—,—,—,信興電工工程有限公司,是
冰雪牌,FR-KS9,U2-C260033,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,信興電工工程有限公司,是
冰雪牌,FR-KS7,U2-C260032,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,信興電工工程有限公司,是
冰雪牌,FR-KV7,U2-C260031,2020,3,315,2.09,3.2954,R32,不適用,—,—,—,信興電工工程有限公司,否
品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
快意寶,W1891-PACV,U2-C260030,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,康富電器貿易有限公司,是
樂信牌,RC-TS24UV,U2-C260029,2020,1,678,6.32,4.8068,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-TS18UV,U2-C260028,2020,1,548,5.36,4.7795,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-TS12UV,U2-C260027,2020,1,362,3.42,4.6618,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-TS9UV,U2-C260026,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,信興電工工程有限公司,是
樂信牌,RC-TS7UV,U2-C260025,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,信興電工工程有限公司,是
金章牌,ZWACR09N,U2-C260023,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,大昌行電器有限公司,是
金章牌,ZWACR07N,U2-C260022,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,大昌行電器有限公司,是
TCL,TAC-22CWI/UJE,U2-C260021,2020,2,924,6.46,3.6123,R32,不適用,—,—,—,TCL Global Marketing,是
TCL,TAC-16CWI/UJE,U2-C260020,2020,2,595,4.87,4.0788,R32,不適用,—,—,—,TCL Global Marketing,是
TCL,TAC-12CWI/UJE,U2-C260019,2020,2,446,3.51,3.9654,R32,不適用,—,—,—,TCL Global Marketing,是
海迅,HLW012WB,U2-C260018,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,捷迅冷氣水電工程有限公司,是
海迅,HLW009WB,U2-C260017,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,捷迅冷氣水電工程有限公司,是
海迅,HLW007WB,U2-C260016,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,捷迅冷氣水電工程有限公司,是
美的,MW-12CRF8EP,U2-C260015,2020,1,384,3.44,4.6272,R32,不適用,—,—,—,美的電器(香港)有限公司,是
美的,MW-09CRF8EP,U2-C260014,2020,1,283,2.70,4.7183,R32,不適用,—,—,—,美的電器(香港)有限公司,是
美的,MW-07CRF8EP,U2-C260013,2020,1,246,2.35,4.6394,R32,不適用,—,—,—,美的電器(香港)有限公司,是
TCL,TAC-09CWI/UJE,U2-C260012,2020,2,323,2.53,4.0724,R32,不適用,—,—,—,TCL Global Marketing,是
TCL,TAC-07CWI/UJE,U2-C260011,2020,1,240,2.23,4.6958,R32,不適用,—,—,—,TCL Global Marketing,是
LG,W3NQ18RSBD0,U2-C260010,2020,1,569,5.13,4.5331,R32,不適用,—,—,—,LG Electronics HK Ltd,是
LG,W3NQ12RSBD0,U2-C260009,2020,1,379,3.57,4.6698,R32,不適用,—,—,—,LG Electronics HK Ltd,是
LG,W3NQ09RSBD0,U2-C260008,2020,1,279,2.55,4.5261,R32,不適用,—,—,—,LG Electronics HK Ltd,是
LG,W3NQ07RSBD0,U2-C260007,2020,1,245,2.26,4.5468,R32,不適用,—,—,—,LG Electronics HK Ltd,是
海格,GA09VXP,U2-C250355,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,海格電業有限公司,是
伊萊克斯,EWV12CB,U2-C250348,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,大昌行電器有限公司,是
伊萊克斯,EWV09CB,U2-C250347,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,大昌行電器有限公司,是
伊萊克斯,EWV07CB,U2-C250346,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,大昌行電器有限公司,是
伊萊克斯,EWV18CB,U2-C250345,2020,1,578,5.35,4.6392,R32,不適用,—,—,—,大昌行電器有限公司,是
飛歌,PVZ18R,U2-C250344,2020,1,578,5.35,4.6392,R32,不適用,—,—,—,太平家庭電器,是
飛歌,PVZ12R,U2-C250343,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,太平家庭電器,是
飛歌,PVZ09R,U2-C250342,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,太平家庭電器,是
飛歌,PVZ07R,U2-C250341,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,太平家庭電器,是
日立牌,RAW-ZH07CCK,U2-C250330,2020,1,235,2.22,4.7309,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
日立牌,RAW-ZH13CCK,U2-C250327,2020,1,368,3.63,4.8042,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
日立牌,RAW-ZH10CCK,U2-C250326,2020,1,264,2.57,4.7971,R32,不適用,—,—,—,阿奇立克日立家電(香港)有限公司,是
白河馬,HIP18HK2,U2-C250325,2020,1,548,5.36,4.7570,R32,不適用,—,—,—,白河馬企業有限公司,是
白河馬,HIP12HK2,U2-C250324,2020,1,362,3.42,4.6602,R32,不適用,—,—,—,白河馬企業有限公司,是
白河馬,HIP09HK2,U2-C250323,2020,1,272,2.63,4.7693,R32,不適用,—,—,—,白河馬企業有限公司,是
白河馬,HIP07HK2,U2-C250322,2020,1,249,2.34,4.6005,R32,不適用,—,—,—,白河馬企業有限公司,是
RYOBISHI,RB-24VB,U2-C250321,2020,1,669,6.63,4.7672,R32,不適用,—,—,—,三菱電機,是
RYOBISHI,RB-18VB,U2-C250320,2020,1,561,5.28,4.6148,R32,不適用,—,—,—,三菱電機,是
RYOBISHI,RB-12VB,U2-C250319,2020,1,380,3.53,4.6525,R32,不適用,—,—,—,三菱電機,是
RYOBISHI,RB-09VB,U2-C250318,2020,1,280,2.50,4.5066,R32,不適用,—,—,—,三菱電機,是
MECAN,MC12HVX,U2-C250311,2020,1,379,3.65,4.7351,R32,1,38,3.62,3.9792,美佳冷氣(香港)有限公司,是
MECAN,MC09HVX,U2-C250310,2020,1,267,2.74,5.0707,R32,1,32,3.08,4.0804,美佳冷氣（香港）有限公司,是
MECAN,MC07HVX,U2-C250309,2020,1,214,2.19,4.9673,R32,1,25,2.39,4.1941,美佳冷氣(香港)有限公司,是
RYOBISHI,RB-07VB,U2-C250308,2020,1,247,2.28,4.5109,R32,不適用,—,—,—,三菱電機,是
海格,GA18VXP,U2-C250278,2020,1,578,5.35,4.6392,R32,不適用,—,—,—,海格電業有限公司,是
海格,GA12VXP,U2-C250277,2020,1,380,3.50,4.6849,R32,不適用,—,—,—,海格電業有限公司,是
海格,GA07VXP,U2-C250276,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,海格電業有限公司,是
品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
TGC,TAC1140,U2-C250274,2020,1,362,3.42,4.6618,R32,不適用,—,—,—,煤氣企業有限公司,是
TGC,TAC870,U2-C250273,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,煤氣企業有限公司,是
TGC,TAC770,U2-C250272,2020,1,249,2.34,4.5598,R32,不適用,—,—,—,煤氣企業有限公司,是
卓爾,WAC-S1812V,U2-C250268,2020,1,561,5.28,4.5957,R32,不適用,—,—,—,康富電器貿易有限公司,是
卓爾,WAC-S1212V,U2-C250267,2020,1,380,3.53,4.6525,R32,不適用,—,—,—,康富電器貿易有限公司,是
卓爾,WAC-S912V,U2-C250266,2020,1,280,2.50,4.5066,R32,不適用,—,—,—,康富電器貿易有限公司,是
卓爾,WAC-S712V,U2-C250265,2020,1,247,2.28,4.5109,R32,不適用,—,—,—,康富電器貿易有限公司,是
海格,GA21VXP,U2-C250257,2020,1,665,6.32,4.7953,R32,不適用,—,—,—,海格電業有限公司,是
TGC,TAC1770,U2-C250256,2020,1,548,5.36,4.7795,R32,不適用,—,—,—,煤氣企業有限公司,是
大松,W24R5A,U2-C250254,2020,4,1057,6.63,3.1288,R32,不適用,—,—,—,宏俊有限公司,否
大松,W12R5A,U2-C250253,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,宏俊有限公司,否
大松,W09R5A,U2-C250252,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,宏俊有限公司,否
大松,W12M5A,U2-C250251,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,宏俊有限公司,否
大松,W09M5A,U2-C250250,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,宏俊有限公司,否
大松,W18R5A,U2-C250237,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,宏俊有限公司,否
大松,W07R5A,U2-C250236,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,宏俊有限公司,否
大松,W18M5A,U2-C250235,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,宏俊有限公司,否
大松,W07M5A,U2-C250234,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,宏俊有限公司,否
卓爾,WAC-S1202A,U2-C250233,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,康富電器貿易有限公司,否
卓爾,WAC-S709R,U2-C250232,2020,4,349,2.11,3.0225,R32,不適用,—,—,—,康富電器貿易有限公司,否
飛歌,PWH18M,U2-C250217,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,太平家庭電器,否
飛歌,PWH12M,U2-C250216,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,太平家庭電器,否
飛歌,PWH09M,U2-C250215,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,太平家庭電器,否
飛歌,PWH07M,U2-C250214,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,太平家庭電器,否
開利,CHK09SBVXPN,U2-C250211,2020,1,272,2.63,4.7797,R32,不適用,—,—,—,世紀開利家用空調有限公司,是
卓爾,WAC-S1209R,U2-C250198,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,康富電器貿易有限公司,否
卓爾,WAC-S702,U2-C250197,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,康富電器貿易有限公司,否
聲寶,AF-A18CCA,U2-C250196,2020,4,855,5.36,3.0456,R32,不適用,—,—,—,大昌行電器有限公司,否
聲寶,AF-A9CCA,U2-C250195,2020,4,435,2.68,3.0015,R32,不適用,—,—,—,大昌行電器有限公司,否
聲寶,AF-X24CCA,U2-C250194,2020,1,701,6.33,4.5458,R32,不適用,—,—,—,大昌行電器有限公司,是
開利,CHK09KM,U2-C250182,2020,3,394,2.73,3.4011,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
卓爾,WAC-S1809R,U2-C250180,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,康富電器貿易有限公司,否
卓爾,WAC-S909R,U2-C250179,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,康富電器貿易有限公司,否
卓爾,WAC-S1802,U2-C250178,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,康富電器貿易有限公司,否
卓爾,WAC-S902,U2-C250177,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,康富電器貿易有限公司,否
聲寶,AF-A12CCA,U2-C250168,2020,4,552,3.58,3.1132,R32,不適用,—,—,—,大昌行電器有限公司,否
聲寶,AF-A7CCA,U2-C250167,2020,4,349,2.11,3.0159,R32,不適用,—,—,—,大昌行電器有限公司,否
開利,CHK18KM,U2-C250166,2020,3,814,5.34,3.2764,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK12KM,U2-C250165,2020,3,542,3.52,3.2809,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
開利,CHK07KM,U2-C250164,2020,3,315,2.10,3.2883,R32,不適用,—,—,—,世紀開利家用空調有限公司,否
聲寶,AF-X18CCA,U2-C250163,2020,1,565,5.19,4.5608,R32,不適用,—,—,—,大昌行電器有限公司,是
聲寶,AF-X12CCA,U2-C250162,2020,1,380,3.56,4.6623,R32,不適用,—,—,—,大昌行電器有限公司,是
聲寶,AF-X9CCA,U2-C250161,2020,1,280,2.55,4.5142,R32,不適用,—,—,—,大昌行電器有限公司,是
聲寶,AF-X7CCA,U2-C250160,2020,1,246,2.25,4.5269,R32,不適用,—,—,—,大昌行電器有限公司,是
樂信牌,RC-XG12,U2-C250159,2020,4,558,3.57,3.0835,R32,不適用,—,—,—,信興電工工程有限公司,否
樂信牌,RC-XG9,U2-C250158,2020,4,435,2.65,2.9978,R32,不適用,—,—,—,信興電工工程有限公司,否
冰雪,FR-EV9,U2-C250156,2020,4,429,2.68,3.0396,R32,不適用,—,—,—,信興電工工程有限公司,否
美的,MW-12HRF8F,U2-C250155,2020,1,379,3.65,4.7351,R32,1,38,3.62,3.9792,美的電器(香港)有限公司,是
樂信牌,RC-XG18,U2-C250154,2020,4,870,5.34,2.9944,R32,不適用,—,—,—,信興電工工程有限公司,否
樂信牌,RC-XG7,U2-C250153,2020,4,344,2.14,3.0547,R32,不適用,—,—,—,信興電工工程有限公司,否
品牌,型號,參考編號,年份 (*),能源效益級別(製冷)(1 至 5),每年耗電量(製冷)(千瓦小時),製冷量(千瓦),製冷季節性表現系數 (CSPF),製冷劑,能源效益級別(供暖)(1 至 5),每年耗電量(供暖)(千瓦小時),供暖量(千瓦),供暖季節性表現系數 (HSPF),資料提供者,變頻
冰雪,FR-EV18,U2-C250152,2020,4,861,5.37,3.0237,R32,不適用,—,—,—,信興電工工程有限公司,否
冰雪,FR-EV12,U2-C250151,2020,4,560,3.55,3.0725,R32,不適用,—,—,—,信興電工工程有限公司,否
冰雪,FR-EV7,U2-C250150,2020,4,349,2.11,3.0142,R32,不適用,—,—,—,信興電工工程有限公司,否
美的,MW-07HRF8F,U2-C250149,2020,1,214,2.19,4.9673,R32,1,25,2.39,4.1941,美的電器(香港)有限公司,是
美的,MW-09HRF8F,U2-C250148,2020,1,267,2.74,5.0707,R32,1,32,3.08,4.0804,美的電器(香港)有限公司,是
格力,GWH09PZ,U2-C250147,2020,1,278,2.52,4.5485,R32,1,25,2.26,3.7440,太平家庭電器,是
