# 要求（必須遵守）：
# 1. price_low / price_high 只填整數港元，唔好有 $ 或逗號（例：2500）
# 2. 只搜「冷氣機」本體價格；遙控器、濾網、安裝費一律忽略
# 3. 得一個價錢時 price_low = price_high
# 4. 搜唔到可靠資料就留空——嚴禁估計、嚴禁填舊資料當新價
# 5. source 填實際參考網站名（BigGo / Price.com.hk / 豐澤 / HKTVmall 等），搜唔到留空
"# 6. 輸出 CSV：brand,model,price_low,price_high,source（唔好省略任何一行）"
brand,model
快意寶,W092-PAC
快意寶,W072-PAC
金章牌,ZWACR12N
快意寶,W1291-PACV
快意寶,W0991-PACV
快意寶,W0791-PACV
COMFEE,CWV-09CRFN9-AD5
COMFEE,CWV-07CRFN9-AD5
HITACHI 日立,RAW-XH24CDK
金章牌,ZWACR18N
HITACHI 日立,RAW-XH13CDK
HITACHI 日立,RAW-XH10CDK
HITACHI 日立,RAW-XH07CDK
Rasonic 樂信,RC-S24PA
Rasonic 樂信,RC-S18PA
Rasonic 樂信,RC-S12PA
Rasonic 樂信,RC-S9PA
Rasonic 樂信,RC-S7PA
COMFEE,CWV-18CRFN9-AD5
COMFEE,CWV-12CRFN9-AD5
海迅,HLW021WB
海迅,HLW018WB
HITACHI 日立,RAW-XH18CDK
冰雪牌,FR-KV18
冰雪牌,FR-KV12
冰雪牌,FR-KV9
冰雪牌,FR-KS18
冰雪牌,FR-KS12
冰雪牌,FR-KS9
冰雪牌,FR-KS7
冰雪牌,FR-KV7
快意寶,W1891-PACV
Rasonic 樂信,RC-TS24UV
Rasonic 樂信,RC-TS18UV
Rasonic 樂信,RC-TS12UV
Rasonic 樂信,RC-TS9UV
Rasonic 樂信,RC-TS7UV
金章牌,ZWACR09N
金章牌,ZWACR07N
TCL,TAC-22CWI/UJE
TCL,TAC-16CWI/UJE
TCL,TAC-12CWI/UJE
海迅,HLW012WB
海迅,HLW009WB
海迅,HLW007WB
Midea 美的,MW-12CRF8EP
Midea 美的,MW-09CRF8EP
Midea 美的,MW-07CRF8EP
TCL,TAC-09CWI/UJE
TCL,TAC-07CWI/UJE
LG,W3NQ18RSBD0
LG,W3NQ12RSBD0
LG,W3NQ09RSBD0
LG,W3NQ07RSBD0
海格,GA09VXP
ELECTROLUX 伊萊克斯,EWV12CB
ELECTROLUX 伊萊克斯,EWV09CB
ELECTROLUX 伊萊克斯,EWV07CB
ELECTROLUX 伊萊克斯,EWV18CB
飛歌,PVZ18R
飛歌,PVZ12R
飛歌,PVZ09R
飛歌,PVZ07R
HITACHI 日立,RAW-ZH07CCK
HITACHI 日立,RAW-ZH13CCK
HITACHI 日立,RAW-ZH10CCK
白河馬,HIP18HK2
白河馬,HIP12HK2
白河馬,HIP09HK2
白河馬,HIP07HK2
RYOBISHI,RB-24VB
RYOBISHI,RB-18VB
RYOBISHI,RB-12VB
RYOBISHI,RB-09VB
MECAN,MC12HVX
MECAN,MC09HVX
MECAN,MC07HVX
RYOBISHI,RB-07VB
海格,GA18VXP
海格,GA12VXP
海格,GA07VXP
TGC,TAC1140
TGC,TAC870
TGC,TAC770
卓爾,WAC-S1812V
卓爾,WAC-S1212V
卓爾,WAC-S912V
卓爾,WAC-S712V
海格,GA21VXP
TGC,TAC1770
TOSOT 大松,W24R5A
TOSOT 大松,W12R5A
TOSOT 大松,W09R5A
TOSOT 大松,W12M5A
TOSOT 大松,W09M5A
TOSOT 大松,W18R5A
TOSOT 大松,W07R5A
TOSOT 大松,W18M5A
TOSOT 大松,W07M5A
卓爾,WAC-S1202A
卓爾,WAC-S709R
飛歌,PWH18M
飛歌,PWH12M
飛歌,PWH09M
飛歌,PWH07M
Carrier 開利,CHK09SBVXPN
卓爾,WAC-S1209R
卓爾,WAC-S702
SHARP 聲寶,AF-A18CCA
SHARP 聲寶,AF-A9CCA
SHARP 聲寶,AF-X24CCA
Carrier 開利,CHK09KM
卓爾,WAC-S1809R
卓爾,WAC-S909R
卓爾,WAC-S1802
卓爾,WAC-S902
SHARP 聲寶,AF-A12CCA
SHARP 聲寶,AF-A7CCA
Carrier 開利,CHK18KM
Carrier 開利,CHK12KM
Carrier 開利,CHK07KM
SHARP 聲寶,AF-X18CCA
SHARP 聲寶,AF-X12CCA
SHARP 聲寶,AF-X9CCA
SHARP 聲寶,AF-X7CCA
Rasonic 樂信,RC-XG12
Rasonic 樂信,RC-XG9
冰雪,FR-EV9
Midea 美的,MW-12HRF8F
Rasonic 樂信,RC-XG18
Rasonic 樂信,RC-XG7
冰雪,FR-EV18
冰雪,FR-EV12
冰雪,FR-EV7
Midea 美的,MW-07HRF8F
Midea 美的,MW-09HRF8F
Gree 格力,GWH09PZ
Gree 格力,GWH24PZ
Gree 格力,GWH07PZ
General 珍寶,AKWA7HNR
Midea 美的,MW-18CRF8EP
LG,W3NQ24RSAD0
LG,W3NQ12RSAD0
LG,W3NQ18RSAD0
LG,W3NQ09RSAD0
LG,W3NQ07RSAD0
Gree 格力,GWS35MZ
Gree 格力,GWS53MZ
Gree 格力,GWS26MZ
Gree 格力,GWS20MZ
General 珍寶,AKWA9HNR
General 珍寶,ALWA24HNR
General 珍寶,AFWA18HNR
General 珍寶,AMWA12HNR
Gree 格力,GWA24MZ
Gree 格力,GWA18MZ
Gree 格力,GWA12MZ
Gree 格力,GWA09MZ
COMFEE,CFW-18FF-M
COMFEE,CFW-12FF-M
COMFEE,CFW-09FF-M
COMFEE,CFW-07FF-M
Rasonic 樂信,RC-S1801AC
Rasonic 樂信,RC-S1201AC
Rasonic 樂信,RC-S901AC
Rasonic 樂信,RC-S701AC
CANOPUS 肯特,TA-09EOG
CANOPUS 肯特,TA-18EOG
CANOPUS 肯特,TA-12EOG
CANOPUS 肯特,TA-07EOG
CANOPUS 肯特,TA-12BVXP
Rasonic 樂信,RC-V18AC
Rasonic 樂信,RC-V12AC
Rasonic 樂信,RC-V9AC
Rasonic 樂信,RC-V7AC
Rasonic 樂信,RC-SUL180B
MECAN,MC18VX
MECAN,MC18FS
MECAN,MC12FS
MECAN,MC21VX
Carrier 開利,CHK12UX
Carrier 開利,CHK12000TP
Carrier 開利,CHK12XP
TOSOT 大松,W24V5B
TOSOT 大松,W18V5B
TOSOT 大松,W12V5B
TOSOT 大松,W09V5B
TOSOT 大松,W07V5B
MECAN,MC07FS
MECAN,MC09FS
Gree 格力,GWH12PZ
Gree 格力,GWH18PZ
CANOPUS 肯特,TA-21BVXP-1
Carrier 開利,CHK09VFPN
Carrier 開利,CHK7000TP
Gree 格力,GWA07MZ
Gree 格力,GWV63Z
Gree 格力,GWV53Z
Gree 格力,GWV35Z
Gree 格力,GWV26Z
Gree 格力,GWV20Z
Gree 格力,GWF24P
Gree 格力,GWF18P
Gree 格力,GWF12P
Gree 格力,GWF09P
Gree 格力,GWF07P
Rasonic 樂信,RC-SUL240B
Panasonic 樂聲,CW-SUL180BA
CANOPUS 肯特,TA-07BVXP
CANOPUS 肯特,TA-09BVXP
CANOPUS 肯特,TA-18BVXP
FORTRESS 豐澤牌,FWAD13IRI25
Carrier 開利,CHK21SBVXPN
Carrier 開利,CHK21FBVXPN
Panasonic 樂聲,CW-SUL240BA
Carrier 開利,CKM09VSP
Carrier 開利,CHK9000TP
Carrier 開利,CHK09XP
Carrier 開利,CHK09UX
Carrier 開利,CHK09FBVXP
Carrier 開利,CHK09EAVXP
Carrier 開利,CKM07VSP
Carrier 開利,CHK07XP
Carrier 開利,CHK07SBVXP
Carrier 開利,CHK07FBVXP
Carrier 開利,CHK07EAVXP
Carrier 開利,CHK18VFP
Carrier 開利,CHK07VFP
Carrier 開利,CHK07UX
MECAN,MC12VX
MECAN,MC09VX
MECAN,MC07VX
FORTRESS 豐澤牌,FWAD19IRI25
FORTRESS 豐澤牌,FWAD10IRI25
FORTRESS 豐澤牌,FWAD08IRI25
Carrier 開利,CHK18BE
Carrier 開利,CHK12BE
Carrier 開利,CHK09BE
Carrier 開利,CHK07BE
Panasonic 樂聲,CW-SUL120BA
Rasonic 樂信,RC-SUL120B
Carrier 開利,CKM21VP
Carrier 開利,CHK21000TP
Carrier 開利,CHK21UX
Carrier 開利,CKM18VSP
Carrier 開利,CHK18FBVXP
Carrier 開利,CHK18SBVXP
Carrier 開利,CHK18000TP
Carrier 開利,CHK18UX
WHIRLPOOL 惠而浦,AWV18301R
WHIRLPOOL 惠而浦,AWV12301R
WHIRLPOOL 惠而浦,AWV09301R
WHIRLPOOL 惠而浦,AWV07301R
WHIRLPOOL 惠而浦,AWV18300R
WHIRLPOOL 惠而浦,AWV12300R
WHIRLPOOL 惠而浦,AWV09300R
WHIRLPOOL 惠而浦,AWV07300R
General 珍寶,ALWB24NID
General 珍寶,AFWB18NID
General 珍寶,AMWB12NID
General 珍寶,AKWB9NID
General 珍寶,AKWB7NID
Carrier 開利,CHK09SBVXP
Carrier 開利,CHK09VFP
Carrier 開利,CHK09EX
TOSHIBA 東芝,RAC-12G3CVRGR-HK1
TOSHIBA 東芝,RAC-12G3CVG-HK1
白河馬,HIP18HK1
白河馬,HIP12HK1
MITSUBISHI HEAVY 三菱重工,WRK53MGC1
MITSUBISHI HEAVY 三菱重工,WRK35MGC1
MITSUBISHI HEAVY 三菱重工,WRK26MGC1
MITSUBISHI HEAVY 三菱重工,WRK20MGC1
YORK 約克,YC-24ZA-R
YORK 約克,YC-18ZA-R
YORK 約克,YC-12ZA-R
YORK 約克,YC-9ZA-R
YORK 約克,YC-7ZA-R
FORTRESS 豐澤牌,FWAD13BIR24
Rasonic 樂信,RC-SU240A
Rasonic 樂信,RC-SU180A
Panasonic 樂聲,CW-SU240AA
Panasonic 樂聲,CW-SU180AA
BODYSONIC,WK70B09R32
BODYSONIC,WK70B07R32
BODYSONIC,WK70B24R32
BODYSONIC,WK70B18R32
BODYSONIC,WK70B12R32
COMFEE,CWF-18CRFN8-AD5
COMFEE,CWF-12CRFN8-AD5
COMFEE,CWF-09CRFN8-AD5
COMFEE,CWF-07CRFN8-AD5
Rasonic 樂信,RC-SU120A
Panasonic 樂聲,CW-SU120AA
SHARP 聲寶,AF-X18BCA
SHARP 聲寶,AF-X12BCA
SHARP 聲寶,AF-X9BCA
SHARP 聲寶,AF-X7BCA
Panasonic 樂聲,CW-SU90AA
Panasonic 樂聲,CW-SU70AA
Rasonic 樂信,RC-SU90A
Rasonic 樂信,RC-SU70A
Carrier 開利,CKM07VS
Rasonic 樂信,RC-HZ180A
Rasonic 樂信,RC-HU180A
Rasonic 樂信,RC-HZ240A
Rasonic 樂信,RC-HU240A
Panasonic 樂聲,CW-HZ240AA
Panasonic 樂聲,CW-HZ180AA
Panasonic 樂聲,CW-HU240AA
Panasonic 樂聲,CW-HU180AA
Rasonic 樂信,RC-HZ120A
Rasonic 樂信,RC-HU120A
Panasonic 樂聲,CW-HZ120AA
Panasonic 樂聲,CW-HU120AA
Carrier 開利,CKM12VS
Carrier 開利,CKM09VS
CANOPUS 肯特,TA-12AVXP
Carrier 開利,CKM18VS
Rasonic 樂信,RC-HZ90A
Rasonic 樂信,RC-HZ70A
Rasonic 樂信,RC-HU90A
Rasonic 樂信,RC-HU70A
Panasonic 樂聲,CW-HZ90AA
Panasonic 樂聲,CW-HZ70AA
Panasonic 樂聲,CW-HU90AA
Panasonic 樂聲,CW-HU70AA
Carrier 開利,CHK1800T
Carrier 開利,CHK1200T
Carrier 開利,CHK900T
Carrier 開利,CHK700T
海迅,HLW018W
海迅,HLW021W
海迅,HLW012W
海迅,HLW009W
海迅,HLW007W
CANOPUS 肯特,TA-18EAG
CANOPUS 肯特,TA-12EAG
海迅,HW018N
海迅,HW012N
CANOPUS 肯特,TA-09EAG
CANOPUS 肯特,TA-07EAG
海迅,HW009N
海迅,HW007N
TOSHIBA 東芝,RAC-18G3RGR-HK
TOSHIBA 東芝,RAC-18G3G-HK
TOSHIBA 東芝,RAC-12G3RGR-HK
TOSHIBA 東芝,RAC-12G3G-HK
TOSHIBA 東芝,RAC-09G3RGR-HK
TOSHIBA 東芝,RAC-09G3G-HK
TOSHIBA 東芝,RAC-07G3RGR-HK
TOSHIBA 東芝,RAC-07G3RG-HK
TOSHIBA 東芝,RAC-07G3G-HK
Midea 美的,MW-12CRF8D
FORTRESS 豐澤牌,FWAD19IR23
FORTRESS 豐澤牌,FWAD13IR23
FORTRESS 豐澤牌,FWAD10IR23
FORTRESS 豐澤牌,FWAD08IR23
FORTRESS 豐澤牌,FWAC19R23
FORTRESS 豐澤牌,FWAC13R23
FORTRESS 豐澤牌,FWAC10R23
FORTRESS 豐澤牌,FWAC08R23
Carrier 開利,CHK12VFP
Carrier 開利,CHK12FBVXP
Carrier 開利,CHK12EAVXP
Carrier 開利,CHK12SBVXP
白河馬,HIP09HK
白河馬,HIP07HK
Gree 格力,GWV63EG
Rasonic 樂信,RC-S24PG1
Carrier 開利,CHK21EAVXP-1
Carrier 開利,CHK21FBVXP-1
Carrier 開利,CHK18VF
Carrier 開利,CHK12VF
Carrier 開利,CHK21SBVXP-1
Carrier 開利,CHK09VF
Carrier 開利,CHK07VF
COMFEE,CFW-18FF-H
COMFEE,CFW-12FF-H
COMFEE,CFW-09FF-H
COMFEE,CFW-07FF-H
Carrier 開利,CHK18LAN
Carrier 開利,CHK12LAN
Carrier 開利,CHK09LAN
Carrier 開利,CHK07LAN
Carrier 開利,CHK18EAN
Carrier 開利,CHK12EAN
Carrier 開利,CHK09EAN
Carrier 開利,CHK07EAN
Carrier 開利,CHK18EAE
Carrier 開利,CHK12EAE
Carrier 開利,CHK09LAE
Carrier 開利,CHK07LAE
Carrier 開利,CHK09EAE
Carrier 開利,CHK07EAE
RYOBISHI,RB-24VA
RYOBISHI,RB-18VA
RYOBISHI,RB-12VA
RYOBISHI,RB-09VA
RYOBISHI,RB-07VA
Carrier 開利,CHK18LAE
Carrier 開利,CHK12LAE
Carrier 開利,CHK21SBVXP
Carrier 開利,CHK21FBVXP
Carrier 開利,CHK21EAVXP
Rasonic 樂信,RC-X18R
Rasonic 樂信,RC-X12R
Rasonic 樂信,RC-X9R
Rasonic 樂信,RC-X7R
WHITE-WESTINGHOUSE,WWN12CRA-D4
WHITE-WESTINGHOUSE,WWN09CRA-D4
WHITE-WESTINGHOUSE,WWN07CRA-D4
WHITE-WESTINGHOUSE,WWN21CRV
WHITE-WESTINGHOUSE,WWN12CRV
WHITE-WESTINGHOUSE,WWN09CRV
WHITE-WESTINGHOUSE,WWN09CMA-D4
WHITE-WESTINGHOUSE,WWN07CMA-D4
WHITE-WESTINGHOUSE,WWN07CRV
WHITE-WESTINGHOUSE,WWN18CRV
TOSOT 大松,W24V5A
TOSOT 大松,W18V5A
TOSOT 大松,W12V5A
TOSOT 大松,W09V5A
TOSOT 大松,W07V5A
Midea 美的,MW-22CRF8D-1
HITACHI 日立,RAW-XH24CA
HITACHI 日立,RAW-XH18CA
HITACHI 日立,RAW-XH13CA
HITACHI 日立,RAW-XH10CA
HITACHI 日立,RAW-XH07CA
飛歌,PVR21R
飛歌,PVR18R
飛歌,PVR12R
飛歌,PVR09R
飛歌,PVR07R
Morita Denko,NMDWA18CRF8B
Morita Denko,NMDWA12CRF8B
Morita Denko,NMDWA09CRF8B
Morita Denko,NMDWA07CRF8B
Morita Denko,NMDWA18CM8C
Morita Denko,NMDWA12CM8C
Morita Denko,NMDWA09CM8C
Morita Denko,NMDWA07CM8C
Rasonic 樂信,RC-S24HR
Rasonic 樂信,RC-S18HR
Rasonic 樂信,RC-S12HR
Rasonic 樂信,RC-S9HR
Rasonic 樂信,RC-S7HR
Rasonic 樂信,RC-S24PG
Rasonic 樂信,RC-S18PG
Rasonic 樂信,RC-S12PG
Rasonic 樂信,RC-S9PG
Rasonic 樂信,RC-S7PG
金章牌,ZWACR2123V
金章牌,ZWACR1823V
金章牌,ZWACR1223V
金章牌,ZWACR0923V
金章牌,ZWACR0723V
ELECTROLUX 伊萊克斯,EWV215CR1WA
ELECTROLUX 伊萊克斯,EWV185CR1WA
ELECTROLUX 伊萊克斯,EWV125CR1WA
ELECTROLUX 伊萊克斯,EWV095CR1WA
ELECTROLUX 伊萊克斯,EWV075CR1WA
TOSHIBA 東芝,RAC-07G3CVRG-HK
TOSHIBA 東芝,RAC-09G3CVRGR-HK
TOSHIBA 東芝,RAC-07G3CVRGR-HK
TOSHIBA 東芝,RAC-09G3CVG-HK
TOSHIBA 東芝,RAC-07G3CVG-HK
MITSUBISHI HEAVY 三菱重工,WRK20MEC1
TOSHIBA 東芝,RAC-18G3CVRGR-HK
TOSHIBA 東芝,RAC-12G3CVRGR-HK
TOSHIBA 東芝,RAC-18G3CVG-HK
TOSHIBA 東芝,RAC-12G3CVG-HK
MITSUBISHI HEAVY 三菱重工,WRK53MEC1
MITSUBISHI HEAVY 三菱重工,WRK35MEC1
MITSUBISHI HEAVY 三菱重工,WRK26MEC1
Gree 格力,GWV70EG
Gree 格力,GWV53EG
Gree 格力,GWV35EG
Gree 格力,GWV26EG
Gree 格力,GWV20EG
Midea 美的,MW-12CRF8C
Midea 美的,MW-18CR8C
Midea 美的,MW-12CR8C
Midea 美的,MW-09CR8C
Midea 美的,MW-07CR8C
Midea 美的,MW-18CM8C
Midea 美的,MW-12CM8C
Midea 美的,MW-09CM8C
Midea 美的,MW-07CM8C
Midea 美的,MW-22CRF8D
金田,KA-W182M
金田,KA-W122M
金田,KA-W092M
金田,KA-W072M
YORK 約克,YC-24XA-R
YORK 約克,YC-18XA-R
YORK 約克,YC-12XA-R
YORK 約克,YC-9XA-R
YORK 約克,YC-7XA-R
Rasonic 樂信,RC-S240U
Rasonic 樂信,RC-S180U
Rasonic 樂信,RC-S120U
Rasonic 樂信,RC-S90U
Rasonic 樂信,RC-S70U
Carrier 開利,CHK21SBVX
Carrier 開利,CHK18SBVX
Carrier 開利,CHK12SBVX
Carrier 開利,CHK09SBVX
Carrier 開利,CHK07SBVX
Carrier 開利,CHK18FBVX
Carrier 開利,CHK12FBVX
Carrier 開利,CHK09FBVX
Carrier 開利,CHK07FBVX
CANOPUS 肯特,TA-21BVX
CANOPUS 肯特,TA-12BVX
CANOPUS 肯特,TA-09BVX
CANOPUS 肯特,TA-07BVX
CANOPUS 肯特,TA-21AVX
CANOPUS 肯特,TA-18AVX
CANOPUS 肯特,TA-12AVX
CANOPUS 肯特,TA-09AVX
CANOPUS 肯特,TA-07AVX
CANOPUS 肯特,TA-21OBVX
CANOPUS 肯特,TA-18OBVX
CANOPUS 肯特,TA-12OBVX
CANOPUS 肯特,TA-09OBVX
CANOPUS 肯特,TA-07OBVX
LG,W3NQ08UNNP2
Gree 格力,GWF24DB
Gree 格力,GWF18DB
Gree 格力,GWF12DB
Gree 格力,GWF09DB
Gree 格力,GWF07DB
General 珍寶,ALWB24NIC
General 珍寶,AFWB18NIC
Carrier 開利,CHK12EAVX
Carrier 開利,CHK09EAVX
Carrier 開利,CHK07EAVX
Midea 美的,MW-22CRF8C
Midea 美的,MW-18CRF8C
General 珍寶,AMWB12NIC
General 珍寶,AKWB9NIC
General 珍寶,AKWB7NIC
FUJI 富士,RMB12GPTN
FUJI 富士,RKB09GPTN
FUJI 富士,RKB07GPTN
Midea 美的,MW-12CRF8B
Midea 美的,MW-09CRF8B
Midea 美的,MW-07CRF8B
Carrier 開利,CHK21EAVX
Carrier 開利,CHK18EAVX
Carrier 開利,CHK18FTE
Carrier 開利,CHK12FTE
Carrier 開利,CHK09FTE
Carrier 開利,CHK07FTE
金章牌,ZWACR1822
金章牌,ZWACR1222
金章牌,ZWACR0922
金章牌,ZWACR0722
金章牌,ZWACM0922
金章牌,ZWACM0722
General 珍寶,AMWA12GBT
General 珍寶,AKWA9GNR
General 珍寶,AKWA7GNR
HYUNDAI 現代,AC24CR
HYUNDAI 現代,AC18CR
HYUNDAI 現代,AC12CR
HYUNDAI 現代,AC09CR
HYUNDAI 現代,AC07CR
HYUNDAI 現代,AC60
HYUNDAI 現代,AC50
HYUNDAI 現代,AC35
HYUNDAI 現代,AC25
HYUNDAI 現代,AC20
HITACHI 日立,RAW-VJ18SCASK
HITACHI 日立,RAW-VJ24SCASK
Rasonic 樂信,RC-XN1821E
Rasonic 樂信,RC-XN1221V
Rasonic 樂信,RC-XN921J
Rasonic 樂信,RC-XN721J
Rasonic 樂信,RC-N1821E
Rasonic 樂信,RC-N1221V
Rasonic 樂信,RC-N921J
Rasonic 樂信,RC-N721J
ELECTROLUX 伊萊克斯,EWF183CR6WA
ELECTROLUX 伊萊克斯,EWF123CR6WA
ELECTROLUX 伊萊克斯,EWF093CR6WA
ELECTROLUX 伊萊克斯,EWF093CM5WA
ELECTROLUX 伊萊克斯,EWF073CR6WA
ELECTROLUX 伊萊克斯,EWF073CM5WA
Panasonic 樂聲,CW-XN1821EA
Panasonic 樂聲,CW-XN1221VA
Panasonic 樂聲,CW-XN921JA
Panasonic 樂聲,CW-XN721JA
Panasonic 樂聲,CW-N1821EA
Panasonic 樂聲,CW-N1221VA
Panasonic 樂聲,CW-N921JA
Panasonic 樂聲,CW-N721JA
HITACHI 日立,RAW-VJ13SCASK
HITACHI 日立,RAW-VJ10SCASK
HITACHI 日立,RAW-VJ07SCASK
飛歌,PWV2218R
飛歌,PWV2212R
飛歌,PWV2209R
飛歌,PWV2207R
飛歌,PWV2224M
飛歌,PWV2218M
飛歌,PWV2212M
飛歌,PWV2209M
飛歌,PWV2207M
飛歌,PVA2224R
飛歌,PVA2218R
飛歌,PVA2212R
飛歌,PVA2209R
飛歌,PVA2207R
北極,FWA2218R
北極,FWA2212R
北極,FWA2209R
北極,FWA2207R
快意寶,W187-PAC
快意寶,W127-PAC
快意寶,W097-PAC
快意寶,W077-PAC
快意寶,W128R-PAC
快意寶,W098R-PAC
快意寶,W078R-PAC
卓爾,WAC-S1807
卓爾,WAC-S1207
卓爾,WAC-S907
卓爾,WAC-S707
卓爾,WAC-S1208R
卓爾,WAC-S908R
卓爾,WAC-S708R
WHIRLPOOL 惠而浦,AWA18020R
WHIRLPOOL 惠而浦,AWA18020N
WHIRLPOOL 惠而浦,AWA09220R
WHIRLPOOL 惠而浦,AWA09220N
WHIRLPOOL 惠而浦,AWA07520R
WHIRLPOOL 惠而浦,AWA07520N
WHIRLPOOL 惠而浦,AWV18001R
WHIRLPOOL 惠而浦,AWV18000R
WHIRLPOOL 惠而浦,AWV12001R
WHIRLPOOL 惠而浦,AWV12000R
WHIRLPOOL 惠而浦,AWV09001R
WHIRLPOOL 惠而浦,AWV09000R
WHIRLPOOL 惠而浦,AWV07001R
WHIRLPOOL 惠而浦,AWV07000R
Rasonic 樂信,RC-X18HA
Rasonic 樂信,RC-X12HA
Rasonic 樂信,RC-X9HA
Rasonic 樂信,RC-X7HA
Rasonic 樂信,RC-X18A
Rasonic 樂信,RC-X12A
Rasonic 樂信,RC-X9A
Rasonic 樂信,RC-X7A
冰雪,FR-E18A
冰雪,FR-E12A
冰雪,FR-E9A
冰雪,FR-E7A
Rasonic 樂信,RC-XV2421G
Rasonic 樂信,RC-XV1821G
Rasonic 樂信,RC-XV1221G
Rasonic 樂信,RC-XV921G
Rasonic 樂信,RC-XV721G
IMASU,IMW-FC24
IMASU,IMW-FC18
Rasonic 樂信,RC-V2421G
Rasonic 樂信,RC-V1821G
Rasonic 樂信,RC-V1221G
Rasonic 樂信,RC-V921G
Rasonic 樂信,RC-V721G
Gree 格力,G224RN
Gree 格力,G218RN
Gree 格力,G212RN
Gree 格力,G209RN
Gree 格力,G207RN
Gree 格力,G224MN
Gree 格力,G218MN
Gree 格力,G212MN
Gree 格力,G209MN
Gree 格力,G207MN
Gree 格力,GWA2124BRN
Gree 格力,GWA2124BMN
Panasonic 樂聲,CW-HU240ZA
Panasonic 樂聲,CW-HU180ZA
Panasonic 樂聲,CW-HU120ZA
Rasonic 樂信,RC-HU240Z
Rasonic 樂信,RC-HU180Z
Rasonic 樂信,RC-HU120Z
Morita Denko,NMDWA18F3X1
Morita Denko,NMDWA12F3X1
Morita Denko,NMDWA09F3X1
Morita Denko,NMDWA07F3X1
Rasonic 樂信,RC-S90B
Rasonic 樂信,RC-S70B
Rasonic 樂信,RC-H90B
Rasonic 樂信,RC-H70B
Rasonic 樂信,RC-S240H
Rasonic 樂信,RC-S180H
Rasonic 樂信,RC-S120H
Rasonic 樂信,RC-S90H
Rasonic 樂信,RC-S70H
HITACHI 日立,RA-10RDF
HITACHI 日立,RA-08RDF
HITACHI 日立,RA-10RF
HITACHI 日立,RA-08RF
Rasonic 樂信,RC-HZ240Z
Rasonic 樂信,RC-XN2421E
Rasonic 樂信,RC-N2421E
Panasonic 樂聲,CW-N2421EA
TOSHIBA 東芝,RAC-18NR-HK
TOSHIBA 東芝,RAC-12NR-HK
TOSHIBA 東芝,RAC-09NR-HK
TOSHIBA 東芝,RAC-07NR-HK
TOSHIBA 東芝,RAC-18N-HK
TOSHIBA 東芝,RAC-12N-HK
TOSHIBA 東芝,RAC-09N-HK
TOSHIBA 東芝,RAC-07N-HK
Rasonic 樂信,RC-HZ180Z
Rasonic 樂信,RC-HZ120Z
Rasonic 樂信,RC-HZ90Z
Rasonic 樂信,RC-HZ70Z
Rasonic 樂信,RC-HU90Z
Rasonic 樂信,RC-HU70Z
北極,FWA2109R
Rasonic 樂信,RC-X9KM
Rasonic 樂信,RC-X7KM
